  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.500  -0.8895   0.14812   0.14415   0.0273   1.0000   0.0133
 -17.250  -0.9104   0.13793   0.13382   0.0215   1.0000   0.0132
 -17.000  -0.9277   0.12912   0.12487   0.0165   1.0000   0.0132
 -16.750  -0.9438   0.12092   0.11651   0.0118   1.0000   0.0132
 -16.500  -0.9578   0.11342   0.10885   0.0075   1.0000   0.0134
 -16.250  -0.9688   0.10691   0.10220   0.0040   1.0000   0.0134
 -16.000  -0.9802   0.10039   0.09552   0.0004   1.0000   0.0135
 -15.750  -0.9885   0.09491   0.08996  -0.0024   1.0000   0.0137
 -15.500  -0.9968   0.08956   0.08452  -0.0052   1.0000   0.0139
 -15.250  -1.0053   0.08422   0.07910  -0.0080   1.0000   0.0142
 -15.000  -1.0127   0.07928   0.07405  -0.0105   1.0000   0.0143
 -14.750  -1.0205   0.07444   0.06910  -0.0129   1.0000   0.0145
 -14.500  -1.0283   0.06974   0.06430  -0.0152   1.0000   0.0147
 -14.250  -1.0352   0.06530   0.05975  -0.0173   1.0000   0.0149
 -14.000  -1.0414   0.06104   0.05538  -0.0193   1.0000   0.0152
 -13.750  -1.0466   0.05700   0.05123  -0.0211   1.0000   0.0155
 -13.500  -1.0510   0.05318   0.04728  -0.0227   1.0000   0.0160
 -13.250  -1.0542   0.04959   0.04356  -0.0242   1.0000   0.0166
 -13.000  -1.0564   0.04626   0.04009  -0.0253   1.0000   0.0172
 -12.750  -1.0564   0.04329   0.03697  -0.0262   1.0000   0.0176
 -12.500  -1.0610   0.04001   0.03361  -0.0271   1.0000   0.0181
 -12.250  -1.0642   0.03710   0.03062  -0.0276   1.0000   0.0188
 -12.000  -1.0640   0.03477   0.02818  -0.0275   1.0000   0.0194
 -11.750  -1.0631   0.03275   0.02604  -0.0269   1.0000   0.0202
 -11.500  -1.0616   0.03101   0.02419  -0.0256   1.0000   0.0210
 -11.250  -1.0587   0.02956   0.02262  -0.0238   1.0000   0.0218
 -11.000  -1.0533   0.02838   0.02130  -0.0216   1.0000   0.0229
 -10.750  -1.0499   0.02695   0.01983  -0.0192   1.0000   0.0242
 -10.500  -1.0392   0.02583   0.01864  -0.0176   1.0000   0.0259
 -10.250  -1.0255   0.02484   0.01756  -0.0161   1.0000   0.0279
 -10.000  -1.0109   0.02387   0.01648  -0.0147   1.0000   0.0301
  -9.750  -0.9970   0.02278   0.01536  -0.0132   1.0000   0.0331
  -9.500  -0.9798   0.02192   0.01439  -0.0120   1.0000   0.0366
  -9.250  -0.9629   0.02097   0.01341  -0.0107   1.0000   0.0408
  -9.000  -0.9442   0.02017   0.01255  -0.0096   1.0000   0.0466
  -8.750  -0.9258   0.01932   0.01170  -0.0085   1.0000   0.0542
  -8.500  -0.9062   0.01855   0.01092  -0.0074   1.0000   0.0633
  -8.250  -0.8859   0.01784   0.01021  -0.0064   1.0000   0.0740
  -8.000  -0.8654   0.01714   0.00953  -0.0055   1.0000   0.0875
  -7.750  -0.8446   0.01648   0.00892  -0.0046   1.0000   0.1038
  -7.250  -0.8018   0.01529   0.00786  -0.0028   1.0000   0.1436
  -7.000  -0.7797   0.01479   0.00743  -0.0019   1.0000   0.1655
  -6.750  -0.7574   0.01434   0.00703  -0.0011   1.0000   0.1867
  -6.500  -0.7344   0.01397   0.00668  -0.0003   1.0000   0.2054
  -6.250  -0.7112   0.01364   0.00635   0.0005   1.0000   0.2208
  -6.000  -0.6879   0.01332   0.00605   0.0014   1.0000   0.2355
  -5.750  -0.6646   0.01303   0.00576   0.0022   1.0000   0.2499
  -5.250  -0.6180   0.01250   0.00526   0.0039   1.0000   0.2783
  -5.000  -0.5949   0.01226   0.00505   0.0047   1.0000   0.2920
  -4.750  -0.5718   0.01203   0.00484   0.0056   1.0000   0.3053
  -4.500  -0.5353   0.01181   0.00463   0.0037   0.9883   0.3206
  -4.250  -0.4978   0.01160   0.00444   0.0016   0.9712   0.3359
  -4.000  -0.4606   0.01140   0.00424  -0.0003   0.9470   0.3507
  -3.750  -0.4199   0.01122   0.00405  -0.0028   0.9202   0.3659
  -3.500  -0.3801   0.01107   0.00387  -0.0051   0.8895   0.3806
  -3.250  -0.3462   0.01096   0.00369  -0.0061   0.8563   0.3944
  -3.000  -0.3170   0.01088   0.00355  -0.0061   0.8248   0.4074
  -2.750  -0.2900   0.01084   0.00342  -0.0056   0.7958   0.4202
  -2.500  -0.2638   0.01080   0.00330  -0.0050   0.7695   0.4330
  -2.250  -0.2377   0.01078   0.00320  -0.0044   0.7451   0.4461
  -2.000  -0.2115   0.01075   0.00311  -0.0038   0.7221   0.4593
  -1.750  -0.1853   0.01073   0.00302  -0.0033   0.7006   0.4729
  -1.500  -0.1590   0.01071   0.00295  -0.0028   0.6803   0.4866
  -1.250  -0.1326   0.01069   0.00290  -0.0023   0.6608   0.5005
