  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.9883   0.04151   0.03971   0.0044   1.0000   0.0044
 -10.000  -1.0108   0.03281   0.03036   0.0057   1.0000   0.0046
  -9.750  -1.0002   0.03117   0.02843   0.0075   0.9050   0.0047
  -9.500  -0.9841   0.02998   0.02703   0.0087   0.8767   0.0048
  -9.250  -0.9634   0.02939   0.02631   0.0093   0.8551   0.0050
  -9.000  -0.9435   0.02840   0.02514   0.0100   0.8369   0.0051
  -8.750  -0.9228   0.02741   0.02398   0.0105   0.8208   0.0052
  -8.500  -0.9021   0.02627   0.02262   0.0111   0.8066   0.0054
  -8.250  -0.8799   0.02539   0.02158   0.0116   0.7938   0.0056
  -8.000  -0.8581   0.02429   0.02029   0.0122   0.7820   0.0059
  -7.750  -0.8365   0.02296   0.01874   0.0128   0.7712   0.0062
  -7.500  -0.8148   0.02146   0.01699   0.0135   0.7614   0.0065
  -7.250  -0.7927   0.01998   0.01525   0.0142   0.7521   0.0067
  -7.000  -0.7695   0.01868   0.01373   0.0149   0.7434   0.0069
  -6.750  -0.7457   0.01754   0.01236   0.0155   0.7354   0.0070
  -6.500  -0.7213   0.01651   0.01115   0.0160   0.7275   0.0072
  -6.250  -0.6959   0.01583   0.01033   0.0164   0.7203   0.0074
  -6.000  -0.6701   0.01525   0.00964   0.0167   0.7129   0.0076
  -5.750  -0.6442   0.01465   0.00891   0.0171   0.7064   0.0078
  -5.500  -0.6183   0.01403   0.00818   0.0174   0.6997   0.0079
  -5.250  -0.5921   0.01351   0.00755   0.0177   0.6936   0.0080
  -5.000  -0.5697   0.01184   0.00566   0.0187   0.6876   0.0088
  -4.500  -0.5173   0.01085   0.00450   0.0194   0.6761   0.0096
  -4.250  -0.4906   0.01049   0.00406   0.0197   0.6703   0.0099
  -4.000  -0.4638   0.01016   0.00367   0.0199   0.6651   0.0102
  -3.750  -0.4368   0.00984   0.00329   0.0201   0.6595   0.0104
  -3.500  -0.4096   0.00958   0.00296   0.0203   0.6543   0.0106
  -3.250  -0.3823   0.00932   0.00264   0.0205   0.6492   0.0110
  -3.000  -0.3549   0.00911   0.00238   0.0206   0.6439   0.0114
  -2.750  -0.3274   0.00891   0.00212   0.0208   0.6391   0.0116
  -2.500  -0.2998   0.00872   0.00189   0.0209   0.6340   0.0119
  -2.250  -0.2721   0.00858   0.00170   0.0210   0.6287   0.0123
  -2.000  -0.2443   0.00844   0.00152   0.0211   0.6240   0.0130
  -1.750  -0.2164   0.00832   0.00137   0.0212   0.6189   0.0158
