  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.7866   0.10069   0.09348  -0.0030   1.0000   0.0642
 -12.750  -0.8380   0.08584   0.07845  -0.0127   1.0000   0.0621
 -12.500  -0.8648   0.07726   0.06965  -0.0179   1.0000   0.0619
 -12.250  -0.8803   0.07121   0.06343  -0.0212   1.0000   0.0628
 -12.000  -0.8920   0.06607   0.05810  -0.0235   1.0000   0.0639
 -11.750  -0.9015   0.06143   0.05325  -0.0253   1.0000   0.0654
 -11.500  -0.9091   0.05723   0.04881  -0.0264   1.0000   0.0674
 -11.250  -0.9154   0.05342   0.04467  -0.0270   1.0000   0.0697
 -11.000  -0.9132   0.05092   0.04220  -0.0267   1.0000   0.0732
 -10.750  -0.9143   0.04836   0.03955  -0.0262   1.0000   0.0775
 -10.500  -0.9148   0.04566   0.03655  -0.0252   1.0000   0.0822
 -10.250  -0.9117   0.04365   0.03463  -0.0237   1.0000   0.0870
 -10.000  -0.9090   0.04152   0.03233  -0.0222   1.0000   0.0941
  -9.750  -0.9040   0.03962   0.03047  -0.0207   1.0000   0.1018
  -9.500  -0.8976   0.03772   0.02851  -0.0193   1.0000   0.1119
  -9.250  -0.8898   0.03598   0.02673  -0.0178   1.0000   0.1242
  -9.000  -0.8807   0.03442   0.02517  -0.0164   1.0000   0.1385
  -8.750  -0.8698   0.03303   0.02381  -0.0149   1.0000   0.1550
  -8.500  -0.8575   0.03179   0.02249  -0.0135   1.0000   0.1743
  -8.250  -0.8433   0.03070   0.02138  -0.0121   1.0000   0.1940
  -8.000  -0.8277   0.02983   0.02050  -0.0107   1.0000   0.2141
  -7.750  -0.8110   0.02896   0.01946  -0.0095   1.0000   0.2350
  -7.500  -0.7926   0.02834   0.01886  -0.0081   1.0000   0.2538
  -7.250  -0.7736   0.02774   0.01816  -0.0069   1.0000   0.2729
  -7.000  -0.7541   0.02711   0.01741  -0.0057   1.0000   0.2918
  -6.750  -0.7338   0.02655   0.01676  -0.0046   1.0000   0.3093
  -6.500  -0.7125   0.02605   0.01622  -0.0034   1.0000   0.3257
  -6.250  -0.6910   0.02556   0.01567  -0.0023   1.0000   0.3418
  -6.000  -0.6692   0.02506   0.01507  -0.0013   1.0000   0.3573
  -5.750  -0.6472   0.02457   0.01452  -0.0002   1.0000   0.3726
  -5.500  -0.6250   0.02410   0.01398   0.0008   1.0000   0.3876
  -5.250  -0.6027   0.02362   0.01344   0.0018   1.0000   0.4022
  -5.000  -0.5803   0.02316   0.01291   0.0028   1.0000   0.4168
  -4.750  -0.5580   0.02272   0.01243   0.0038   1.0000   0.4312
  -4.500  -0.5358   0.02230   0.01197   0.0048   1.0000   0.4457
  -4.250  -0.5137   0.02190   0.01155   0.0059   1.0000   0.4602
  -4.000  -0.4917   0.02151   0.01114   0.0069   1.0000   0.4749
  -3.750  -0.4700   0.02116   0.01078   0.0080   1.0000   0.4896
  -3.500  -0.4486   0.02083   0.01046   0.0091   1.0000   0.5046
  -3.250  -0.4275   0.02052   0.01019   0.0102   1.0000   0.5196
  -3.000  -0.4071   0.02025   0.00993   0.0113   1.0000   0.5349
  -2.750  -0.3878   0.02002   0.00975   0.0126   1.0000   0.5503
  -2.500  -0.3703   0.01984   0.00962   0.0141   1.0000   0.5658
  -2.250  -0.3393   0.01972   0.00955   0.0129   0.9883   0.5836
  -2.000  -0.2948   0.01962   0.00946   0.0094   0.9641   0.6046
  -1.750  -0.2496   0.01951   0.00938   0.0061   0.9415   0.6257
  -1.500  -0.2066   0.01938   0.00930   0.0034   0.9181   0.6464
  -1.250  -0.1637   0.01926   0.00919   0.0009   0.8956   0.6687
  -1.000  -0.1259   0.01916   0.00915  -0.0004   0.8707   0.6888
  -0.750  -0.0901   0.01908   0.00906  -0.0012   0.8467   0.7102
  -0.500  -0.0580   0.01902   0.00902  -0.0013   0.8223   0.7316
  -0.250  -0.0285   0.01899   0.00900  -0.0007   0.7983   0.7530
   0.000   0.0000   0.01898   0.00897   0.0000   0.7758   0.7758
   0.250   0.0285   0.01899   0.00900   0.0007   0.7530   0.7983
   0.500   0.0580   0.01902   0.00902   0.0013   0.7316   0.8224
   0.750   0.0901   0.01908   0.00906   0.0012   0.7102   0.8466
   1.000   0.1258   0.01916   0.00915   0.0004   0.6888   0.8707
   1.500   0.2066   0.01938   0.00930  -0.0034   0.6464   0.9182
   1.750   0.2496   0.01951   0.00938  -0.0061   0.6257   0.9416
   2.000   0.2948   0.01962   0.00946  -0.0094   0.6046   0.9641
   2.250   0.3393   0.01972   0.00955  -0.0129   0.5836   0.9884
   2.500   0.3703   0.01984   0.00962  -0.0141   0.5658   1.0000
   2.750   0.3878   0.02002   0.00975  -0.0126   0.5503   1.0000
   3.000   0.4071   0.02025   0.00993  -0.0114   0.5349   1.0000
   3.250   0.4276   0.02052   0.01018  -0.0102   0.5196   1.0000
   3.500   0.4486   0.02083   0.01046  -0.0091   0.5046   1.0000
   3.750   0.4701   0.02116   0.01078  -0.0080   0.4897   1.0000
   4.000   0.4918   0.02151   0.01114  -0.0069   0.4749   1.0000
   4.250   0.5137   0.02189   0.01155  -0.0059   0.4602   1.0000
   4.500   0.5358   0.02230   0.01197  -0.0049   0.4457   1.0000
   4.750   0.5581   0.02272   0.01243  -0.0038   0.4312   1.0000
   5.000   0.5804   0.02316   0.01291  -0.0028   0.4168   1.0000
   5.250   0.6027   0.02362   0.01344  -0.0018   0.4022   1.0000
   5.500   0.6250   0.02409   0.01397  -0.0008   0.3875   1.0000
   5.750   0.6472   0.02457   0.01452   0.0002   0.3726   1.0000
   6.000   0.6692   0.02506   0.01507   0.0013   0.3573   1.0000
   6.250   0.6910   0.02556   0.01566   0.0023   0.3417   1.0000
   6.500   0.7125   0.02605   0.01622   0.0034   0.3257   1.0000
   6.750   0.7337   0.02655   0.01676   0.0046   0.3093   1.0000
   7.000   0.7541   0.02711   0.01741   0.0057   0.2917   1.0000
   7.250   0.7736   0.02773   0.01816   0.0069   0.2729   1.0000
   7.500   0.7926   0.02834   0.01886   0.0081   0.2538   1.0000
   8.000   0.8276   0.02983   0.02050   0.0107   0.2141   1.0000
   8.250   0.8432   0.03069   0.02137   0.0121   0.1940   1.0000
   8.500   0.8574   0.03178   0.02249   0.0135   0.1744   1.0000
   8.750   0.8698   0.03302   0.02380   0.0149   0.1550   1.0000
   9.000   0.8806   0.03441   0.02517   0.0164   0.1386   1.0000
   9.250   0.8898   0.03597   0.02672   0.0178   0.1242   1.0000
   9.500   0.8977   0.03772   0.02850   0.0193   0.1119   1.0000
   9.750   0.9040   0.03961   0.03047   0.0208   0.1018   1.0000
  10.000   0.9089   0.04152   0.03232   0.0222   0.0940   1.0000
  10.250   0.9118   0.04363   0.03461   0.0237   0.0870   1.0000
  10.500   0.9146   0.04566   0.03656   0.0252   0.0821   1.0000
  10.750   0.9139   0.04836   0.03955   0.0262   0.0773   1.0000
  11.000   0.9136   0.05090   0.04221   0.0267   0.0733   1.0000
  11.250   0.9159   0.05339   0.04463   0.0270   0.0697   1.0000
  11.500   0.9089   0.05726   0.04883   0.0264   0.0672   1.0000
  11.750   0.9017   0.06143   0.05326   0.0253   0.0653   1.0000
  12.000   0.8924   0.06603   0.05807   0.0235   0.0639   1.0000
  12.250   0.8808   0.07117   0.06339   0.0212   0.0627   1.0000
  12.500   0.8656   0.07717   0.06956   0.0180   0.0619   1.0000
  12.750   0.8382   0.08587   0.07849   0.0126   0.0622   1.0000
  13.000   0.7871   0.10069   0.09347   0.0030   0.0642   1.0000
