  
       XFOIL         Version 6.96
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.250  -0.8181   0.12615   0.12090   0.0130   1.0000   0.0285
 -15.000  -0.8552   0.11241   0.10701   0.0050   1.0000   0.0275
 -14.750  -0.8836   0.10173   0.09615  -0.0015   1.0000   0.0272
 -14.500  -0.9060   0.09303   0.08727  -0.0067   1.0000   0.0271
 -14.250  -0.9235   0.08586   0.07991  -0.0109   1.0000   0.0271
 -14.000  -0.9388   0.07945   0.07332  -0.0146   1.0000   0.0275
 -13.750  -0.9512   0.07377   0.06748  -0.0177   1.0000   0.0278
 -13.500  -0.9619   0.06858   0.06206  -0.0204   1.0000   0.0283
 -13.250  -0.9718   0.06369   0.05694  -0.0229   1.0000   0.0291
 -13.000  -0.9783   0.05947   0.05250  -0.0247   1.0000   0.0297
 -12.750  -0.9799   0.05614   0.04913  -0.0254   1.0000   0.0305
 -12.500  -0.9815   0.05294   0.04586  -0.0263   1.0000   0.0314
 -12.250  -0.9833   0.04982   0.04265  -0.0272   1.0000   0.0324
 -12.000  -0.9839   0.04695   0.03967  -0.0277   1.0000   0.0335
 -11.750  -0.9842   0.04425   0.03683  -0.0279   1.0000   0.0351
 -11.500  -0.9830   0.04181   0.03420  -0.0278   1.0000   0.0369
 -11.250  -0.9813   0.03956   0.03181  -0.0271   1.0000   0.0385
 -11.000  -0.9822   0.03741   0.02963  -0.0261   1.0000   0.0401
 -10.750  -0.9811   0.03560   0.02775  -0.0245   1.0000   0.0420
 -10.500  -0.9783   0.03400   0.02605  -0.0225   1.0000   0.0443
 -10.250  -0.9711   0.03258   0.02444  -0.0206   1.0000   0.0475
 -10.000  -0.9662   0.03093   0.02279  -0.0188   1.0000   0.0510
  -9.750  -0.9562   0.02955   0.02131  -0.0172   1.0000   0.0558
  -9.500  -0.9459   0.02811   0.01981  -0.0155   1.0000   0.0609
  -9.250  -0.9330   0.02684   0.01846  -0.0140   1.0000   0.0684
  -9.000  -0.9198   0.02555   0.01718  -0.0126   1.0000   0.0777
  -8.750  -0.9047   0.02438   0.01600  -0.0113   1.0000   0.0895
  -8.500  -0.8882   0.02330   0.01493  -0.0101   1.0000   0.1047
  -8.250  -0.8706   0.02233   0.01396  -0.0090   1.0000   0.1231
  -8.000  -0.8524   0.02144   0.01313  -0.0079   1.0000   0.1441
  -7.750  -0.8327   0.02070   0.01242  -0.0070   1.0000   0.1663
  -7.500  -0.8123   0.02007   0.01180  -0.0060   1.0000   0.1882
  -7.250  -0.7910   0.01952   0.01122  -0.0051   1.0000   0.2080
  -7.000  -0.7694   0.01903   0.01070  -0.0042   1.0000   0.2262
  -6.750  -0.7473   0.01858   0.01022  -0.0033   1.0000   0.2436
  -6.500  -0.7248   0.01818   0.00977  -0.0025   1.0000   0.2605
  -6.250  -0.7022   0.01780   0.00935  -0.0016   1.0000   0.2767
  -6.000  -0.6794   0.01744   0.00896  -0.0007   1.0000   0.2924
  -5.750  -0.6565   0.01710   0.00857   0.0002   1.0000   0.3073
  -5.500  -0.6337   0.01677   0.00823   0.0011   1.0000   0.3216
  -5.250  -0.6108   0.01646   0.00792   0.0020   1.0000   0.3356
  -5.000  -0.5880   0.01616   0.00763   0.0029   1.0000   0.3493
  -4.750  -0.5652   0.01588   0.00733   0.0038   1.0000   0.3626
  -4.500  -0.5426   0.01561   0.00708   0.0048   1.0000   0.3758
  -4.250  -0.5200   0.01536   0.00684   0.0057   1.0000   0.3888
  -4.000  -0.4977   0.01512   0.00662   0.0067   1.0000   0.4020
  -3.750  -0.4760   0.01491   0.00642   0.0077   1.0000   0.4151
  -3.500  -0.4444   0.01472   0.00626   0.0067   0.9910   0.4300
  -3.250  -0.4042   0.01454   0.00609   0.0041   0.9706   0.4461
  -3.000  -0.3649   0.01436   0.00592   0.0018   0.9476   0.4623
  -2.750  -0.3242   0.01419   0.00577  -0.0006   0.9242   0.4788
  -2.500  -0.2849   0.01404   0.00562  -0.0027   0.8986   0.4954
  -2.250  -0.2482   0.01392   0.00546  -0.0042   0.8714   0.5118
  -2.000  -0.2153   0.01383   0.00534  -0.0047   0.8435   0.5279
  -1.750  -0.1858   0.01377   0.00522  -0.0046   0.8164   0.5436
  -1.500  -0.1582   0.01373   0.00513  -0.0041   0.7907   0.5595
  -1.250  -0.1316   0.01370   0.00506  -0.0034   0.7659   0.5755
  -1.000  -0.1052   0.01368   0.00499  -0.0027   0.7434   0.5920
  -0.750  -0.0791   0.01366   0.00495  -0.0020   0.7211   0.6086
  -0.500  -0.0526   0.01364   0.00493  -0.0013   0.7006   0.6256
  -0.250  -0.0263   0.01363   0.00491  -0.0007   0.6808   0.6431
   0.000   0.0000   0.01363   0.00491   0.0000   0.6615   0.6614
   0.250   0.0263   0.01363   0.00491   0.0007   0.6431   0.6808
   0.500   0.0526   0.01364   0.00493   0.0014   0.6256   0.7007
   0.750   0.0791   0.01366   0.00495   0.0020   0.6086   0.7211
   1.000   0.1052   0.01368   0.00499   0.0027   0.5920   0.7433
   1.250   0.1316   0.01370   0.00506   0.0034   0.5755   0.7659
   1.500   0.1582   0.01373   0.00513   0.0041   0.5595   0.7907
   1.750   0.1858   0.01377   0.00522   0.0046   0.5436   0.8164
   2.000   0.2153   0.01383   0.00534   0.0047   0.5279   0.8435
   2.250   0.2481   0.01392   0.00546   0.0042   0.5118   0.8714
   2.500   0.2849   0.01404   0.00562   0.0027   0.4955   0.8986
   2.750   0.3242   0.01419   0.00577   0.0006   0.4788   0.9241
   3.000   0.3649   0.01436   0.00592  -0.0018   0.4623   0.9475
   3.250   0.4042   0.01454   0.00609  -0.0041   0.4461   0.9706
   3.500   0.4444   0.01472   0.00626  -0.0067   0.4300   0.9910
