  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.7104   0.08277   0.08091   0.0220   1.0000   0.0078
  -9.000  -0.7260   0.07557   0.07377   0.0164   1.0000   0.0077
  -8.750  -0.7487   0.06747   0.06568   0.0098   1.0000   0.0076
  -8.500  -0.7668   0.05668   0.05471   0.0046   0.9768   0.0075
  -8.250  -0.7884   0.04527   0.04279   0.0042   0.8967   0.0076
  -8.000  -0.7913   0.03941   0.03641   0.0055   0.8702   0.0078
  -7.750  -0.7828   0.03570   0.03225   0.0067   0.8508   0.0079
  -7.500  -0.7799   0.02986   0.02571   0.0085   0.8352   0.0082
  -7.250  -0.7673   0.02610   0.02145   0.0099   0.8216   0.0085
  -7.000  -0.7483   0.02395   0.01893   0.0109   0.8090   0.0088
  -6.750  -0.7269   0.02236   0.01707   0.0116   0.7974   0.0091
  -6.500  -0.7038   0.02128   0.01578   0.0122   0.7867   0.0095
  -6.250  -0.6800   0.02026   0.01455   0.0127   0.7769   0.0100
  -6.000  -0.6561   0.01890   0.01295   0.0134   0.7673   0.0102
  -5.750  -0.6318   0.01756   0.01136   0.0140   0.7588   0.0105
  -5.250  -0.5817   0.01548   0.00889   0.0152   0.7426   0.0112
  -5.000  -0.5563   0.01466   0.00789   0.0157   0.7353   0.0116
  -4.750  -0.5306   0.01395   0.00705   0.0162   0.7278   0.0121
  -4.500  -0.5047   0.01334   0.00631   0.0166   0.7211   0.0125
  -4.250  -0.4787   0.01278   0.00565   0.0170   0.7141   0.0128
  -4.000  -0.4525   0.01229   0.00506   0.0174   0.7079   0.0130
  -3.750  -0.4259   0.01192   0.00461   0.0176   0.7012   0.0134
  -3.250  -0.3728   0.01108   0.00358   0.0183   0.6892   0.0141
  -3.000  -0.3460   0.01073   0.00312   0.0186   0.6833   0.0145
  -2.750  -0.3188   0.01044   0.00274   0.0188   0.6778   0.0151
  -2.500  -0.2915   0.01021   0.00243   0.0190   0.6720   0.0164
  -2.250  -0.2642   0.01000   0.00218   0.0192   0.6667   0.0193
  -2.000  -0.2375   0.00963   0.00193   0.0194   0.6610   0.0507
  -1.750  -0.2108   0.00931   0.00175   0.0196   0.6558   0.0957
  -1.500  -0.1841   0.00900   0.00161   0.0198   0.6505   0.1441
  -1.250  -0.1581   0.00858   0.00148   0.0199   0.6450   0.2250
  -0.750  -0.1111   0.00719   0.00124   0.0211   0.6348   0.5436
  -0.500  -0.0889   0.00664   0.00117   0.0223   0.6294   0.6770
  -0.250  -0.0670   0.00615   0.00113   0.0238   0.6246   0.7975
   0.000  -0.0268   0.00591   0.00122   0.0217   0.6188   0.9119
   0.250   0.0284   0.00601   0.00129   0.0159   0.6129   0.9484
   0.500   0.0642   0.00609   0.00134   0.0143   0.6069   0.9652
   0.750   0.0979   0.00617   0.00136   0.0132   0.5999   0.9768
   1.000   0.1326   0.00622   0.00138   0.0117   0.5911   0.9845
   1.250   0.1712   0.00627   0.00138   0.0094   0.5820   0.9906
   1.750   0.2484   0.00634   0.00138   0.0047   0.5593   0.9996
   2.000   0.2765   0.00637   0.00138   0.0046   0.5488   1.0000
   2.250   0.3029   0.00641   0.00141   0.0049   0.5357   1.0000
   2.500   0.3294   0.00647   0.00144   0.0052   0.5222   1.0000
   2.750   0.3559   0.00654   0.00148   0.0054   0.5072   1.0000
   3.000   0.3825   0.00663   0.00153   0.0057   0.4888   1.0000
   3.250   0.4091   0.00674   0.00160   0.0059   0.4660   1.0000
   3.500   0.4357   0.00690   0.00171   0.0060   0.4373   1.0000
   3.750   0.4622   0.00723   0.00184   0.0061   0.3807   1.0000
   4.000   0.4883   0.00825   0.00222   0.0055   0.2370   1.0000
