  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.6527   0.10223   0.09791   0.0205   1.0000   0.0312
  -9.250  -0.6516   0.09751   0.09322   0.0193   1.0000   0.0306
  -9.000  -0.6507   0.09301   0.08875   0.0174   1.0000   0.0299
  -8.750  -0.6525   0.08801   0.08379   0.0143   1.0000   0.0294
  -8.500  -0.6570   0.08253   0.07837   0.0100   1.0000   0.0288
  -8.250  -0.6642   0.07678   0.07264   0.0055   1.0000   0.0284
  -8.000  -0.6685   0.07082   0.06662   0.0018   1.0000   0.0278
  -7.750  -0.6706   0.06479   0.06047  -0.0012   1.0000   0.0272
  -7.500  -0.6705   0.05865   0.05411  -0.0033   1.0000   0.0266
  -7.250  -0.6669   0.05277   0.04793  -0.0045   1.0000   0.0260
  -7.000  -0.6597   0.04719   0.04195  -0.0049   1.0000   0.0255
  -6.750  -0.6487   0.04212   0.03640  -0.0048   1.0000   0.0252
  -6.500  -0.6339   0.03774   0.03148  -0.0044   1.0000   0.0251
  -6.250  -0.6157   0.03403   0.02725  -0.0039   1.0000   0.0252
  -6.000  -0.5945   0.03092   0.02364  -0.0034   1.0000   0.0256
  -5.750  -0.5708   0.02859   0.02091  -0.0032   1.0000   0.0270
  -5.500  -0.5452   0.02669   0.01855  -0.0031   1.0000   0.0292
  -5.250  -0.5171   0.02468   0.01616  -0.0033   0.9769   0.0301
  -5.000  -0.4836   0.02277   0.01393  -0.0044   0.9438   0.0306
  -4.750  -0.4551   0.02136   0.01227  -0.0043   0.9217   0.0312
  -4.500  -0.4311   0.02002   0.01081  -0.0035   0.9037   0.0321
  -4.250  -0.4091   0.01901   0.00967  -0.0022   0.8882   0.0337
  -4.000  -0.3867   0.01825   0.00878  -0.0010   0.8742   0.0361
  -3.750  -0.3637   0.01758   0.00794   0.0002   0.8617   0.0400
  -3.500  -0.3404   0.01685   0.00707   0.0013   0.8500   0.0478
  -3.250  -0.3176   0.01598   0.00639   0.0023   0.8393   0.0880
  -3.000  -0.2957   0.01504   0.00593   0.0032   0.8297   0.1890
  -2.750  -0.2746   0.01411   0.00562   0.0042   0.8205   0.3313
  -2.500  -0.2549   0.01294   0.00543   0.0057   0.8112   0.5498
  -2.250  -0.2268   0.01217   0.00532   0.0069   0.8039   0.7466
  -2.000  -0.1623   0.01209   0.00532   0.0011   0.7970   0.8916
  -1.750  -0.1136   0.01223   0.00522  -0.0024   0.7901   0.9444
  -1.500  -0.0680   0.01231   0.00506  -0.0058   0.7822   0.9775
  -1.250  -0.0180   0.01226   0.00478  -0.0104   0.7751   1.0000
  -1.000   0.0056   0.01225   0.00462  -0.0098   0.7668   1.0000
  -0.750   0.0299   0.01227   0.00449  -0.0093   0.7586   1.0000
  -0.500   0.0535   0.01230   0.00438  -0.0085   0.7514   1.0000
  -0.250   0.0786   0.01234   0.00433  -0.0082   0.7432   1.0000
   0.000   0.1023   0.01240   0.00427  -0.0074   0.7367   1.0000
   0.250   0.1278   0.01247   0.00429  -0.0071   0.7285   1.0000
   0.500   0.1521   0.01255   0.00428  -0.0064   0.7220   1.0000
   0.750   0.1777   0.01264   0.00434  -0.0061   0.7141   1.0000
   1.000   0.2024   0.01274   0.00438  -0.0054   0.7075   1.0000
   1.250   0.2280   0.01284   0.00449  -0.0051   0.6996   1.0000
   1.500   0.2531   0.01295   0.00458  -0.0045   0.6925   1.0000
   1.750   0.2784   0.01307   0.00470  -0.0040   0.6845   1.0000
   2.000   0.3038   0.01318   0.00483  -0.0036   0.6759   1.0000
   2.250   0.3282   0.01327   0.00494  -0.0027   0.6678   1.0000
   2.500   0.3539   0.01338   0.00511  -0.0023   0.6571   1.0000
   2.750   0.3790   0.01348   0.00524  -0.0017   0.6461   1.0000
   3.000   0.4040   0.01355   0.00537  -0.0009   0.6344   1.0000
   3.250   0.4289   0.01362   0.00549  -0.0002   0.6219   1.0000
   3.500   0.4539   0.01367   0.00566   0.0006   0.6079   1.0000
   3.750   0.4790   0.01372   0.00580   0.0013   0.5918   1.0000
   4.000   0.5039   0.01376   0.00592   0.0021   0.5741   1.0000
   4.250   0.5290   0.01381   0.00606   0.0029   0.5534   1.0000
   4.500   0.5539   0.01386   0.00619   0.0038   0.5282   1.0000
   4.750   0.5788   0.01396   0.00643   0.0045   0.4952   1.0000
   5.000   0.6032   0.01413   0.00661   0.0054   0.4490   1.0000
   5.250   0.6266   0.01452   0.00683   0.0062   0.3765   1.0000
   5.500   0.6471   0.01567   0.00737   0.0068   0.2593   1.0000
   5.750   0.6653   0.01748   0.00834   0.0069   0.1323   1.0000
   6.000   0.6847   0.01897   0.00937   0.0073   0.0600   1.0000
   6.250   0.7041   0.02054   0.01079   0.0082   0.0336   1.0000
   6.500   0.7240   0.02186   0.01229   0.0091   0.0265   1.0000
   6.750   0.7431   0.02317   0.01366   0.0100   0.0219   1.0000
   7.000   0.7616   0.02455   0.01520   0.0111   0.0198   1.0000
   7.250   0.7798   0.02602   0.01684   0.0123   0.0187   1.0000
   7.500   0.7979   0.02765   0.01862   0.0135   0.0177   1.0000
   7.750   0.8162   0.02937   0.02050   0.0147   0.0170   1.0000
   8.000   0.8343   0.03131   0.02262   0.0158   0.0165   1.0000
   8.250   0.8517   0.03350   0.02502   0.0170   0.0160   1.0000
   8.500   0.8675   0.03597   0.02781   0.0181   0.0157   1.0000
   8.750   0.8810   0.03876   0.03090   0.0192   0.0155   1.0000
   9.000   0.8909   0.04184   0.03428   0.0202   0.0151   1.0000
   9.250   0.8958   0.04533   0.03808   0.0213   0.0148   1.0000
   9.500   0.8969   0.04837   0.04159   0.0225   0.0145   1.0000
   9.750   0.8925   0.05173   0.04532   0.0236   0.0142   1.0000
  10.000   0.8819   0.05498   0.04885   0.0247   0.0141   1.0000
  10.250   0.8677   0.05857   0.05265   0.0249   0.0140   1.0000
  10.500   0.8546   0.06255   0.05680   0.0239   0.0141   1.0000
  10.750   0.8398   0.06723   0.06163   0.0218   0.0143   1.0000
  11.000   0.8267   0.07218   0.06668   0.0192   0.0145   1.0000
  11.250   0.8090   0.07850   0.07314   0.0151   0.0146   1.0000
  11.500   0.7914   0.08575   0.08049   0.0101   0.0146   1.0000
  11.750   0.7792   0.09258   0.08736   0.0059   0.0149   1.0000
