  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.6554   0.08332   0.07727   0.0010   1.0000   0.0428
  -8.250  -0.6564   0.07849   0.07241  -0.0011   1.0000   0.0426
  -8.000  -0.6577   0.07353   0.06737  -0.0033   1.0000   0.0424
  -7.750  -0.6576   0.06860   0.06228  -0.0052   1.0000   0.0424
  -7.500  -0.6562   0.06364   0.05704  -0.0067   1.0000   0.0427
  -7.000  -0.6394   0.05548   0.04860  -0.0079   1.0000   0.0453
  -6.750  -0.6282   0.05129   0.04408  -0.0083   1.0000   0.0459
  -6.500  -0.6154   0.04681   0.03911  -0.0083   1.0000   0.0455
  -6.250  -0.5993   0.04278   0.03454  -0.0080   1.0000   0.0454
  -6.000  -0.5802   0.03924   0.03050  -0.0076   1.0000   0.0456
  -5.750  -0.5587   0.03613   0.02685  -0.0072   1.0000   0.0461
  -5.500  -0.5351   0.03337   0.02367  -0.0069   1.0000   0.0470
  -5.250  -0.5098   0.03093   0.02085  -0.0066   1.0000   0.0483
  -5.000  -0.4833   0.02876   0.01836  -0.0063   1.0000   0.0501
  -4.750  -0.4559   0.02685   0.01616  -0.0061   1.0000   0.0527
  -4.500  -0.4295   0.02528   0.01444  -0.0060   1.0000   0.0583
  -4.250  -0.4037   0.02404   0.01306  -0.0058   1.0000   0.0674
  -4.000  -0.3790   0.02268   0.01167  -0.0055   1.0000   0.0772
  -3.750  -0.3558   0.02132   0.01032  -0.0051   1.0000   0.0973
  -3.500  -0.3375   0.01992   0.00933  -0.0045   1.0000   0.1664
  -3.250  -0.3117   0.01799   0.00865  -0.0055   0.9786   0.3748
  -3.000  -0.2829   0.01647   0.00845  -0.0047   0.9649   0.6555
  -2.750  -0.1945   0.01624   0.00829  -0.0124   0.9731   0.9066
  -2.500  -0.1208   0.01630   0.00775  -0.0207   0.9719   0.9829
  -2.250  -0.0676   0.01614   0.00716  -0.0266   0.9565   1.0000
  -2.000  -0.0321   0.01615   0.00682  -0.0289   0.9359   1.0000
  -1.750  -0.0008   0.01621   0.00660  -0.0302   0.9182   1.0000
